,cat_item,request,sys_updated_on,outcome,elapsed_days,days_to_end
113,16ef04da87b730d094f140490cbb350d,39dffa3847ad0950064af271e36d4369,2022-02-19 06:00:18,Closed Complete,,
114,aa347d1d87bf709094f140490cbb35a2,39dffa3847ad0950064af271e36d4369,2022-02-20 06:00:35,Closed Complete,,
115,7ba4ec3e1be7749456f2ece5604bcb07,39dffa3847ad0950064af271e36d4369,2022-02-20 06:00:35,Closed Complete,,
116,5d27f19587ff709094f140490cbb3528,39dffa3847ad0950064af271e36d4369,2022-02-20 06:00:35,Closed Complete,,
117,b019b9a2dba71454b890bd5c68961990,39dffa3847ad0950064af271e36d4369,2022-02-20 06:00:35,Closed Complete,,
118,5d27f19587ff709094f140490cbb3528,39dffa3847ad0950064af271e36d4369,2022-02-20 06:00:35,Closed Complete,,
119,b019b9a2dba71454b890bd5c68961990,39dffa3847ad0950064af271e36d4369,2022-02-20 06:00:35,Closed Complete,,
120,aa347d1d87bf709094f140490cbb35a2,39dffa3847ad0950064af271e36d4369,2022-02-20 06:00:35,Closed Complete,,
121,7ba4ec3e1be7749456f2ece5604bcb07,39dffa3847ad0950064af271e36d4369,2022-02-20 06:00:35,Closed Complete,,
122,da0a989e873b30d094f140490cbb3593,39dffa3847ad0950064af271e36d4369,2022-02-21 06:00:10,Closed Complete,,
123,da0a989e873b30d094f140490cbb3593,39dffa3847ad0950064af271e36d4369,2022-02-21 06:00:10,Closed Complete,,
124,00e9e12587604d9494f140490cbb357f,39dffa3847ad0950064af271e36d4369,2022-02-27 06:00:11,Closed Complete,,
125,9e7005e2db8f50107ea8264cd39619b5,39dffa3847ad0950064af271e36d4369,2022-03-01 14:03:09,Closed Complete,,
126,9e7005e2db8f50107ea8264cd39619b5,39dffa3847ad0950064af271e36d4369,2022-03-12 06:00:49,Closed Complete,,
127,9e7005e2db8f50107ea8264cd39619b5,39dffa3847ad0950064af271e36d4369,2022-03-18 07:27:40,Closed Complete,,
128,Closed Complete,39dffa3847ad0950064af271e36d4369,2022-03-18 07:27:41,Closed Complete,-1.0,0.0
129,3385105e87f730d094f140490cbb35cd,e959f6ed97e9c990d903bfafe153af8e,2022-02-08 15:53:56,Closed Complete,,
130,7ba4ec3e1be7749456f2ece5604bcb07,e959f6ed97e9c990d903bfafe153af8e,2022-02-08 15:53:56,Closed Complete,,
131,b019b9a2dba71454b890bd5c68961990,e959f6ed97e9c990d903bfafe153af8e,2022-02-08 15:53:57,Closed Complete,,
132,5d27f19587ff709094f140490cbb3528,e959f6ed97e9c990d903bfafe153af8e,2022-02-08 15:53:57,Closed Complete,,
133,da0a989e873b30d094f140490cbb3593,e959f6ed97e9c990d903bfafe153af8e,2022-02-08 15:53:57,Closed Complete,,
134,aa347d1d87bf709094f140490cbb35a2,e959f6ed97e9c990d903bfafe153af8e,2022-02-08 15:53:57,Closed Complete,,
135,00e9e12587604d9494f140490cbb357f,e959f6ed97e9c990d903bfafe153af8e,2022-02-08 15:53:57,Closed Complete,,
136,c04428de87fb30d094f140490cbb3516,e959f6ed97e9c990d903bfafe153af8e,2022-02-08 15:53:57,Closed Complete,,
137,16ef04da87b730d094f140490cbb350d,e959f6ed97e9c990d903bfafe153af8e,2022-02-08 15:53:57,Closed Complete,,
138,40abdc16877b30d094f140490cbb351d,e959f6ed97e9c990d903bfafe153af8e,2022-02-08 15:53:57,Closed Complete,,
139,9e7005e2db8f50107ea8264cd39619b5,e959f6ed97e9c990d903bfafe153af8e,2022-02-08 15:55:59,Closed Complete,,
140,8e4d445287b730d094f140490cbb35b4,e959f6ed97e9c990d903bfafe153af8e,2022-02-08 15:57:14,Closed Complete,,
141,3385105e87f730d094f140490cbb35cd,e959f6ed97e9c990d903bfafe153af8e,2022-02-08 17:58:48,Closed Complete,,
142,3385105e87f730d094f140490cbb35cd,e959f6ed97e9c990d903bfafe153af8e,2022-02-08 17:58:48,Closed Complete,,
143,b019b9a2dba71454b890bd5c68961990,e959f6ed97e9c990d903bfafe153af8e,2022-02-09 03:57:42,Closed Complete,,
144,aa347d1d87bf709094f140490cbb35a2,e959f6ed97e9c990d903bfafe153af8e,2022-02-09 03:58:27,Closed Complete,,
145,00e9e12587604d9494f140490cbb357f,e959f6ed97e9c990d903bfafe153af8e,2022-02-09 03:58:46,Closed Complete,,
146,5d27f19587ff709094f140490cbb3528,e959f6ed97e9c990d903bfafe153af8e,2022-02-09 04:26:40,Closed Complete,,
147,7ba4ec3e1be7749456f2ece5604bcb07,e959f6ed97e9c990d903bfafe153af8e,2022-02-09 04:37:16,Closed Complete,,
148,16ef04da87b730d094f140490cbb350d,e959f6ed97e9c990d903bfafe153af8e,2022-02-09 08:34:30,Closed Complete,,
149,00e9e12587604d9494f140490cbb357f,e959f6ed97e9c990d903bfafe153af8e,2022-02-09 12:03:17,Closed Complete,,
150,b019b9a2dba71454b890bd5c68961990,e959f6ed97e9c990d903bfafe153af8e,2022-02-10 04:44:37,Closed Complete,,
151,aa347d1d87bf709094f140490cbb35a2,e959f6ed97e9c990d903bfafe153af8e,2022-02-10 04:55:51,Closed Complete,,
152,aa347d1d87bf709094f140490cbb35a2,e959f6ed97e9c990d903bfafe153af8e,2022-02-10 04:55:51,Closed Complete,,
153,aa347d1d87bf709094f140490cbb35a2,e959f6ed97e9c990d903bfafe153af8e,2022-02-10 04:55:51,Closed Complete,,
154,aa347d1d87bf709094f140490cbb35a2,e959f6ed97e9c990d903bfafe153af8e,2022-02-10 04:55:51,Closed Complete,,
155,b019b9a2dba71454b890bd5c68961990,e959f6ed97e9c990d903bfafe153af8e,2022-02-10 06:07:56,Closed Complete,,
156,b019b9a2dba71454b890bd5c68961990,e959f6ed97e9c990d903bfafe153af8e,2022-02-10 06:07:56,Closed Complete,,
157,b019b9a2dba71454b890bd5c68961990,e959f6ed97e9c990d903bfafe153af8e,2022-02-10 15:27:05,Closed Complete,,
158,da0a989e873b30d094f140490cbb3593,e959f6ed97e9c990d903bfafe153af8e,2022-02-10 16:08:18,Closed Complete,,
159,40abdc16877b30d094f140490cbb351d,e959f6ed97e9c990d903bfafe153af8e,2022-02-11 07:24:00,Closed Complete,,
160,40abdc16877b30d094f140490cbb351d,e959f6ed97e9c990d903bfafe153af8e,2022-02-11 07:24:00,Closed Complete,,
161,da0a989e873b30d094f140490cbb3593,e959f6ed97e9c990d903bfafe153af8e,2022-02-11 08:33:33,Closed Complete,,
162,aa347d1d87bf709094f140490cbb35a2,e959f6ed97e9c990d903bfafe153af8e,2022-02-14 03:00:57,Closed Complete,,
163,00e9e12587604d9494f140490cbb357f,e959f6ed97e9c990d903bfafe153af8e,2022-02-14 03:06:50,Closed Complete,,
164,00e9e12587604d9494f140490cbb357f,e959f6ed97e9c990d903bfafe153af8e,2022-02-14 03:06:50,Closed Complete,,
165,da0a989e873b30d094f140490cbb3593,e959f6ed97e9c990d903bfafe153af8e,2022-02-14 12:56:40,Closed Complete,,
166,da0a989e873b30d094f140490cbb3593,e959f6ed97e9c990d903bfafe153af8e,2022-02-14 12:56:40,Closed Complete,,
167,16ef04da87b730d094f140490cbb350d,e959f6ed97e9c990d903bfafe153af8e,2022-02-14 13:54:30,Closed Complete,,
168,16ef04da87b730d094f140490cbb350d,e959f6ed97e9c990d903bfafe153af8e,2022-02-14 13:54:30,Closed Complete,,
169,c04428de87fb30d094f140490cbb3516,e959f6ed97e9c990d903bfafe153af8e,2022-02-14 14:44:08,Closed Complete,,
170,c04428de87fb30d094f140490cbb3516,e959f6ed97e9c990d903bfafe153af8e,2022-02-14 14:44:08,Closed Complete,,
171,7ba4ec3e1be7749456f2ece5604bcb07,e959f6ed97e9c990d903bfafe153af8e,2022-02-14 15:45:21,Closed Complete,,
